Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Raisins,1/2 cup,88,230,2,0,0,0.7,82,Dinner
Raspberries,1/2 cup,100,100,0,0,0,2,25,Dinner
"Raw, red",3/4 cup,100,57,0,0,0,5,14,Dinner
Rhubarb sweetened,1 cup,270,385,1,0,0,1.9,98,Dinner
Strawberries,1 cup,227,242,1,0,0,1.3,60,Dinner
Raw,1 cup,149,54,0,0,0,1.9,12,Dinner
Tangerines,I med.,114,40,1,0,0,1,10,Dinner
Watermelon,1 wedge,925,120,2,1,0,3.6,29,Dinner
Biscuits,1,38,130,3,4,3,0,18,Breakfast
Bran flakes,1 cup,25,117,3,0,0,0.10,32,Breakfast
"Bread, cracked wheat",1 slice,23,60,2,1,1,0.10,12,Breakfast
Rye,1 slice,23,55,2,1,1,0.10,12,Breakfast
"White, 20 slices, or",1-lb. loaf,454,"1,225",39,15,12,9.00,229,Breakfast
Whole-wheat,1-lb. loaf,454,"1,100",48,14,10,67.50,216,Breakfast
Whole-wheat,1 slice,23,55,2,1,0,0.31,11,Breakfast
Corn bread ground meal,1 serving,50,100,3,4,2,0.30,15,Breakfast
Cornflakes,1 cup,25,110,2,0,0,0.1,25,Breakfast
Corn grits cooked,1 cup,242,120,8,0,0,0.2,27,Breakfast
Corn meal,1 cup,118,360,9,4,2,1.6,74,Breakfast
Crackers,2 med.,14,55,1,1,0,0,10,Breakfast
"Soda, 2 1/2 square",2,11,45,1,1,0,0,8,Breakfast
Farina,1 cup,238,105,3,0,0,8,22,Breakfast
Flour,1 cup,110,460,39,22,0,2.9,33,Breakfast
Wheat (all purpose),1 cup,110,400,12,1,0,0.3,84,Breakfast
Wheat (whole),1 cup,120,390,13,2,0,2.8,79,Breakfast
Macaroni,1 cup,140,155,5,1,0,0.1,32,Breakfast
Baked with cheese,1 cup,220,475,18,25,24,0,44,Breakfast
Muffins,1,48,135,4,5,4,0,19,Breakfast
Noodles,1 cup,160,200,7,2,2,0.1,37,Breakfast
Oatmeal,1 cup,236,150,5,3,2,4.6,26,Breakfast
"Pancakes 4"" diam.",4,108,250,7,9,0,0.1,28,Breakfast
"Wheat, pancakes 4"" diam.",4,108,250,7,9,0,0.1,28,Breakfast
"Pizza 14"" diam.",1 section,75,180,8,6,5,0,23,Breakfast
Popcorn salted,2 cups,28,152,3,7,2,0.5,20,Breakfast
Puffed rice,1 cup,14,55,0,0,0,0,12,Breakfast
Puffed wheat presweetened,1 cup,28,105,1,0,0,0.6,26,Breakfast
Rice,1 cup,208,748,15,3,0,1.2,154,Breakfast
Converted,1 cup,187,677,14,0,0,0.4,142,Breakfast
White,1 cup,191,692,14,0,0,0.3,150,Breakfast
